position,layer,method,n,positive_n,delta_margin_auc,delta_margin_auc_ci_low,delta_margin_auc_ci_high
P_a0,20,j_lens,29,8,0.9107142857142857,0.7797619047619048,1.0
P_a0,20,logit_lens,29,8,0.8571428571428571,0.7083333333333334,0.98
P_a0,21,j_lens,29,8,0.9345238095238095,0.8181818181818182,1.0
P_a0,21,logit_lens,29,8,0.8392857142857143,0.675,0.9675324675324676
P_a0,22,j_lens,29,8,0.9404761904761905,0.8260869565217391,1.0
P_a0,22,logit_lens,29,8,0.8571428571428571,0.7020177738927739,0.9747537878787877
P_a0,23,j_lens,29,8,0.9345238095238095,0.8199710144927536,1.0
P_a0,23,logit_lens,29,8,0.8988095238095238,0.7597402597402597,1.0
P_a0,24,j_lens,29,8,0.9345238095238095,0.8166447368421053,1.0
P_a0,24,logit_lens,29,8,0.9166666666666666,0.7899818840579711,1.0
P_a0,25,j_lens,29,8,0.7619047619047619,0.5648934398934399,0.925
P_a0,25,logit_lens,29,8,0.7916666666666666,0.6111111111111112,0.9394090909090907
P_a0,26,j_lens,29,8,0.7410714285714286,0.5333333333333333,0.9130646135265696
P_a0,26,logit_lens,29,8,0.7916666666666666,0.6011904761904762,0.9405112044817928
P_a0,27,j_lens,29,8,0.8065476190476191,0.6190476190476191,0.9555555555555556
P_a0,27,logit_lens,29,8,0.8065476190476191,0.621047149122807,0.9555797101449273
last_evidence,0,j_lens,29,8,0.5535714285714286,0.2691471571906355,0.8277777777777777
last_evidence,0,logit_lens,29,8,0.20833333333333334,0.05,0.4166666666666667
last_evidence,1,j_lens,29,8,0.6488095238095238,0.3630952380952381,0.9
last_evidence,1,logit_lens,29,8,0.26785714285714285,0.09444444444444444,0.4805194805194805
last_evidence,2,j_lens,29,8,0.6339285714285714,0.35,0.8961371961371957
last_evidence,2,logit_lens,29,8,0.3392857142857143,0.14208333333333334,0.5649491812535291
last_evidence,3,j_lens,29,8,0.5863095238095238,0.2727272727272727,0.8700505952380945
last_evidence,3,logit_lens,29,8,0.3869047619047619,0.18823352573352578,0.6
last_evidence,4,j_lens,29,8,0.5297619047619048,0.25,0.83
last_evidence,4,logit_lens,29,8,0.2767857142857143,0.1078921568627451,0.4805194805194805
last_evidence,5,j_lens,29,8,0.5178571428571429,0.21428571428571427,0.8392857142857143
last_evidence,5,logit_lens,29,8,0.2261904761904762,0.07142857142857142,0.4111274509803919
last_evidence,6,j_lens,29,8,0.5982142857142857,0.29993506493506494,0.8702344877344881
last_evidence,6,logit_lens,29,8,0.2619047619047619,0.08333333333333333,0.47
last_evidence,7,j_lens,29,8,0.49702380952380953,0.21666666666666667,0.7789473684210526
last_evidence,7,logit_lens,29,8,0.2916666666666667,0.10711580086580087,0.5055555555555555
last_evidence,8,j_lens,29,8,0.5119047619047619,0.19047619047619047,0.8105263157894737
last_evidence,8,logit_lens,29,8,0.44047619047619047,0.18333333333333332,0.7013143106893105
last_evidence,9,j_lens,29,8,0.5,0.18329545454545454,0.8181982872200262
last_evidence,9,logit_lens,29,8,0.34523809523809523,0.13095238095238096,0.5897499999999999
last_evidence,10,j_lens,29,8,0.5357142857142857,0.2,0.8536122090469919
last_evidence,10,logit_lens,29,8,0.38095238095238093,0.16110119047619048,0.6153985507246376
last_evidence,11,j_lens,29,8,0.44642857142857145,0.125,0.7857142857142857
last_evidence,11,logit_lens,29,8,0.2261904761904762,0.07142857142857142,0.4242803030303032
last_evidence,12,j_lens,29,8,0.47023809523809523,0.16229707792207793,0.7898550724637681
last_evidence,12,logit_lens,29,8,0.38095238095238093,0.1488095238095238,0.6388888888888888
last_evidence,13,j_lens,29,8,0.48214285714285715,0.23684210526315788,0.7307692307692307
last_evidence,13,logit_lens,29,8,0.47023809523809523,0.2050925925925926,0.7436011904761903
last_evidence,14,j_lens,29,8,0.5952380952380952,0.375,0.8080808080808081
last_evidence,14,logit_lens,29,8,0.35119047619047616,0.1315723019670388,0.5909090909090909
last_evidence,15,j_lens,29,8,0.5773809523809523,0.35064935064935066,0.7916666666666666
last_evidence,15,logit_lens,29,8,0.5238095238095238,0.2536231884057971,0.7833333333333333
last_evidence,16,j_lens,29,8,0.5744047619047619,0.33766233766233766,0.8052777777777778
last_evidence,16,logit_lens,29,8,0.25,0.05068840579710145,0.4935335497835499
last_evidence,17,j_lens,29,8,0.5416666666666666,0.28983908780903667,0.7916666666666666
last_evidence,17,logit_lens,29,8,0.25,0.08695652173913043,0.46568627450980393
last_evidence,18,j_lens,29,8,0.6666666666666666,0.43506493506493504,0.869060559006211
last_evidence,18,logit_lens,29,8,0.28273809523809523,0.09592352092352092,0.5105555555555557
last_evidence,19,j_lens,29,8,0.5952380952380952,0.3399821428571429,0.8333333333333334
last_evidence,19,logit_lens,29,8,0.3630952380952381,0.1631578947368421,0.575
last_evidence,20,j_lens,29,8,0.6547619047619048,0.42105263157894735,0.8630952380952381
