condition,position,layer,method,n,positive_n,margin_auc,margin_auc_ci_low,margin_auc_ci_high,unknown_mrr_auc
C0,last_evidence,6,logit_lens,31,2,0.6982758620689655,0.3659523809523809,1.0,0.7068965517241379
C0,last_evidence,7,j_lens,31,2,0.603448275862069,0.41139846743295017,0.7738095238095238,0.5689655172413793
C0,last_evidence,7,logit_lens,31,2,0.6120689655172413,0.16666666666666666,1.0,0.7241379310344828
C0,last_evidence,8,j_lens,31,2,0.5948275862068966,0.35957142857142854,0.8333333333333334,0.603448275862069
C0,last_evidence,8,logit_lens,31,2,0.5086206896551724,0.11666666666666667,0.9,0.7241379310344828
C0,last_evidence,9,j_lens,31,2,0.5431034482758621,0.3103448275862069,0.7644444444444443,0.3793103448275862
C0,last_evidence,9,logit_lens,31,2,0.5862068965517241,0.1,1.0,0.6896551724137931
C0,last_evidence,10,j_lens,31,2,0.3879310344827586,0.06666666666666667,0.75,0.3448275862068966
C0,last_evidence,10,logit_lens,31,2,0.5689655172413793,0.09857142857142866,1.0,0.7931034482758621
C0,last_evidence,11,j_lens,31,2,0.603448275862069,0.26666666666666666,0.9285714285714286,0.3620689655172414
C0,last_evidence,11,logit_lens,31,2,0.5517241379310345,0.13333333333333333,0.9666666666666667,0.5172413793103449
C0,last_evidence,12,j_lens,31,2,0.5431034482758621,0.16695402298850573,0.8963669950738914,0.27586206896551724
C0,last_evidence,12,logit_lens,31,2,0.4482758620689655,0.0,0.9655172413793104,0.5862068965517241
C0,last_evidence,13,j_lens,31,2,0.41379310344827586,0.0,0.9,0.3103448275862069
C0,last_evidence,13,logit_lens,31,2,0.43103448275862066,0.0,0.8928571428571429,0.6724137931034483
C0,last_evidence,14,j_lens,31,2,0.29310344827586204,0.0,0.7,0.3448275862068966
C0,last_evidence,14,logit_lens,31,2,0.5172413793103449,0.16666666666666666,0.8666666666666667,0.5172413793103449
C0,last_evidence,15,j_lens,31,2,0.22413793103448276,0.0,0.5669047619047617,0.3275862068965517
C0,last_evidence,15,logit_lens,31,2,0.22413793103448276,0.0,0.5333333333333333,0.3275862068965517
C0,last_evidence,16,j_lens,31,2,0.22413793103448276,0.0,0.5341071428571427,0.3620689655172414
C0,last_evidence,16,logit_lens,31,2,0.5689655172413793,0.3444364623243934,0.8159722222222219,0.4827586206896552
C0,last_evidence,17,j_lens,31,2,0.31896551724137934,0.08333333333333333,0.6071428571428571,0.4827586206896552
C0,last_evidence,17,logit_lens,31,2,0.3448275862068966,0.1,0.6,0.4482758620689655
C0,last_evidence,18,j_lens,31,2,0.3793103448275862,0.03333333333333333,0.7931034482758621,0.5689655172413793
C0,last_evidence,18,logit_lens,31,2,0.39655172413793105,0.2,0.6206896551724138,0.5
C0,last_evidence,19,j_lens,31,2,0.29310344827586204,0.0,0.7,0.46551724137931033
C0,last_evidence,19,logit_lens,31,2,0.1896551724137931,0.03333333333333333,0.41379310344827586,0.5
C0,last_evidence,20,j_lens,31,2,0.3275862068965517,0.0,0.7666666666666667,0.4482758620689655
C0,last_evidence,20,logit_lens,31,2,0.25862068965517243,0.06666666666666667,0.5,0.6379310344827587
C0,last_evidence,21,j_lens,31,2,0.3793103448275862,0.0,0.8,0.4827586206896552
C0,last_evidence,21,logit_lens,31,2,0.2413793103448276,0.03333333333333333,0.5,0.6379310344827587
C0,last_evidence,22,j_lens,31,2,0.41379310344827586,0.0,0.8908730158730158,0.6206896551724138
C0,last_evidence,22,logit_lens,31,2,0.3620689655172414,0.0,0.7666666666666667,0.6379310344827587
C0,last_evidence,23,j_lens,31,2,0.3620689655172414,0.0,0.7666666666666667,0.6379310344827587
C0,last_evidence,23,logit_lens,31,2,0.5,0.13793103448275862,0.8333333333333334,0.7241379310344828
C0,last_evidence,24,j_lens,31,2,0.4827586206896552,0.19541256157635467,0.7847988505747124,0.603448275862069
C0,last_evidence,24,logit_lens,31,2,0.603448275862069,0.26666666666666666,0.9285714285714286,0.6896551724137931
C0,last_evidence,25,j_lens,31,2,0.6379310344827587,0.46551724137931033,0.8165178571428571,0.6896551724137931
C0,last_evidence,25,logit_lens,31,2,0.6810344827586207,0.5165384615384616,0.8392857142857143,0.6810344827586207
C0,last_evidence,26,j_lens,31,2,0.6551724137931034,0.41379310344827586,0.8622988505747123,0.6724137931034483
C0,last_evidence,26,logit_lens,31,2,0.5948275862068966,0.301875,0.8812212643678161,0.6810344827586207
C0,last_evidence,27,j_lens,31,2,0.5948275862068966,0.3103448275862069,0.8666666666666667,0.6206896551724138
C0,last_evidence,27,logit_lens,31,2,0.5948275862068966,0.2864285714285714,0.8928571428571429,0.6206896551724138
C1,P_a0,0,j_lens,31,10,0.5976190476190476,0.3660673701298701,0.8358035714285714,0.5952380952380952
C1,P_a0,0,logit_lens,31,10,0.3976190476190476,0.17851190476190476,0.6191071428571429,0.5857142857142857
C1,P_a0,1,j_lens,31,10,0.5047619047619047,0.27378246753246754,0.6962394957983192,0.5047619047619047
C1,P_a0,1,logit_lens,31,10,0.3880952380952381,0.18370535714285716,0.602275432900433,0.4714285714285714
C1,P_a0,2,j_lens,31,10,0.4928571428571429,0.24698457792207792,0.719047619047619,0.5
C1,P_a0,2,logit_lens,31,10,0.5476190476190477,0.328476800976801,0.7619468167701863,0.6904761904761905
C1,P_a0,3,j_lens,31,10,0.3476190476190476,0.1533095238095238,0.5707486044657097,0.4
C1,P_a0,3,logit_lens,31,10,0.46190476190476193,0.24238636363636365,0.7024880952380951,0.5380952380952381
C1,P_a0,4,j_lens,31,10,0.2976190476190476,0.11393718671679198,0.5081620447788926,0.3380952380952381
C1,P_a0,4,logit_lens,31,10,0.4380952380952381,0.2306818181818182,0.673345238095238,0.6095238095238096
C1,P_a0,5,j_lens,31,10,0.23809523809523808,0.05952380952380952,0.4674107142857142,0.2523809523809524
C1,P_a0,5,logit_lens,31,10,0.5333333333333333,0.29791666666666666,0.7545806277056276,0.6142857142857143
C1,P_a0,6,j_lens,31,10,0.38095238095238093,0.16666666666666666,0.6212324134199134,0.23333333333333334
C1,P_a0,6,logit_lens,31,10,0.319047619047619,0.12662500000000002,0.5573168498168497,0.34285714285714286
C1,P_a0,7,j_lens,31,10,0.37142857142857144,0.1943452380952381,0.5796401515151515,0.319047619047619
C1,P_a0,7,logit_lens,31,10,0.5047619047619047,0.2863626651126651,0.7368734335839598,0.38571428571428573
C1,P_a0,8,j_lens,31,10,0.3761904761904762,0.1863474025974026,0.572423245614035,0.24285714285714285
C1,P_a0,8,logit_lens,31,10,0.3904761904761905,0.17258928571428572,0.6162181020733651,0.30952380952380953
C1,P_a0,9,j_lens,31,10,0.4023809523809524,0.20833333333333334,0.6066709401709401,0.3238095238095238
C1,P_a0,9,logit_lens,31,10,0.3904761904761905,0.16666666666666666,0.6607873376623375,0.40476190476190477
C1,P_a0,10,j_lens,31,10,0.6,0.3865546218487395,0.8025237726669615,0.3333333333333333
C1,P_a0,10,logit_lens,31,10,0.5166666666666667,0.32040449134199134,0.722729743083004,0.48095238095238096
C1,P_a0,11,j_lens,31,10,0.6309523809523809,0.4076666666666667,0.8228855866355865,0.4142857142857143
C1,P_a0,11,logit_lens,31,10,0.5547619047619048,0.35333152173913046,0.7500534188034188,0.5
C1,P_a0,12,j_lens,31,10,0.5357142857142857,0.28664285714285714,0.777340909090909,0.4666666666666667
C1,P_a0,12,logit_lens,31,10,0.6476190476190476,0.44115896358543416,0.8421240601503759,0.7095238095238096
C1,P_a0,13,j_lens,31,10,0.7166666666666667,0.5332575757575757,0.8933739495798318,0.5714285714285714
C1,P_a0,13,logit_lens,31,10,0.6357142857142857,0.39911948431685274,0.8760964912280701,0.6142857142857143
C1,P_a0,14,j_lens,31,10,0.7547619047619047,0.5427857142857142,0.9546818181818181,0.6738095238095239
C1,P_a0,14,logit_lens,31,10,0.6333333333333333,0.4076190476190476,0.8266845238095238,0.5880952380952381
C1,P_a0,15,j_lens,31,10,0.9047619047619048,0.7828088578088579,0.9952435064935065,0.780952380952381
C1,P_a0,15,logit_lens,31,10,0.7547619047619047,0.5384453781512605,0.956149885583524,0.7904761904761904
C1,P_a0,16,j_lens,31,10,0.8666666666666667,0.6964091614906832,0.9846212121212121,0.8142857142857143
C1,P_a0,16,logit_lens,31,10,0.7380952380952381,0.5,0.9537896825396824,0.7523809523809524
C1,P_a0,17,j_lens,31,10,0.9666666666666667,0.8916576086956522,1.0,0.9666666666666667
C1,P_a0,17,logit_lens,31,10,0.9857142857142858,0.9393939393939394,1.0,0.9952380952380953
C1,P_a0,18,j_lens,31,10,0.9380952380952381,0.8420347744360902,1.0,0.9619047619047619
C1,P_a0,18,logit_lens,31,10,0.9619047619047619,0.8809523809523809,1.0,0.9761904761904762
C1,P_a0,19,j_lens,31,10,0.9238095238095239,0.8095238095238095,1.0,0.9642857142857143
C1,P_a0,19,logit_lens,31,10,0.9428571428571428,0.8460597826086956,1.0,0.9809523809523809
C1,P_a0,20,j_lens,31,10,0.9285714285714286,0.8152151077822433,1.0,0.9952380952380953
C1,P_a0,20,logit_lens,31,10,0.9142857142857143,0.7809461152882206,1.0,0.9833333333333333
C1,P_a0,21,j_lens,31,10,0.9047619047619048,0.7761904761904762,0.994077380952381,0.9714285714285714
C1,P_a0,21,logit_lens,31,10,0.8857142857142857,0.7324483082706766,1.0,0.9738095238095238
C1,P_a0,22,j_lens,31,10,0.9214285714285714,0.8192113095238095,0.997478354978355,0.9571428571428572
C1,P_a0,22,logit_lens,31,10,0.8904761904761904,0.7391304347826086,0.9914529914529915,0.9547619047619048
C1,P_a0,23,j_lens,31,10,0.95,0.8571352258852258,1.0,0.9571428571428572
C1,P_a0,23,logit_lens,31,10,0.9285714285714286,0.8097463768115942,1.0,0.9761904761904762
C1,P_a0,24,j_lens,31,10,0.9380952380952381,0.8482738095238095,1.0,0.9238095238095239
C1,P_a0,24,logit_lens,31,10,0.9404761904761905,0.8428571428571429,1.0,0.969047619047619
C1,P_a0,25,j_lens,31,10,0.95,0.8690386002886004,1.0,0.7142857142857143
C1,P_a0,25,logit_lens,31,10,0.9642857142857143,0.8973958333333334,1.0,0.8095238095238095
C1,P_a0,26,j_lens,31,10,0.9571428571428572,0.8766512605042017,1.0,0.6904761904761905
C1,P_a0,26,logit_lens,31,10,0.9857142857142858,0.9404491341991342,1.0,0.8095238095238095
C1,P_a0,27,j_lens,31,10,0.9428571428571428,0.8530575236167341,1.0,0.8333333333333334
C1,P_a0,27,logit_lens,31,10,0.9428571428571428,0.8423076923076923,1.0,0.8333333333333334
C1,P_q,0,j_lens,31,10,0.6428571428571429,0.4431756422924901,0.8137014374514373,0.47619047619047616
C1,P_q,0,logit_lens,31,10,0.4666666666666667,0.22273162525879917,0.7295760489510489,0.5285714285714286
C1,P_q,1,j_lens,31,10,0.6452380952380953,0.46188858695652174,0.8289826127819548,0.4380952380952381
C1,P_q,1,logit_lens,31,10,0.38333333333333336,0.15788758581235698,0.6049206349206347,0.5190476190476191
C1,P_q,2,j_lens,31,10,0.5238095238095238,0.2991098484848485,0.7478618421052632,0.5047619047619047
C1,P_q,2,logit_lens,31,10,0.48095238095238096,0.2735,0.6842271118973905,0.47619047619047616
C1,P_q,3,j_lens,31,10,0.4238095238095238,0.23108435681965095,0.6390491452991451,0.4095238095238095
C1,P_q,3,logit_lens,31,10,0.4119047619047619,0.20896780303030302,0.6481646825396825,0.4095238095238095
C1,P_q,4,j_lens,31,10,0.5523809523809524,0.29884153318077805,0.8137049485125858,0.6285714285714286
C1,P_q,4,logit_lens,31,10,0.44761904761904764,0.2261904761904762,0.6848297101449276,0.5333333333333333
